"Benchmark File","Input Size","RBS-ruby-141216.150957","RBS-ruby-141216.165707","RBS-ruby-141216.184041","RBS-ruby-141216.202741","RBS-ruby-141216.221503","RBS-ruby-141217.000149","RBS-ruby-141217.014822","RBS-ruby-141217.033458","RBS-ruby-141217.052815","RBS-ruby-141217.072151","RBS-ruby-141217.091533","RBS-ruby-141217.111100"
"micro-benchmarks/bm_count_multithreaded.rb",8,0.192858519,0.200883008,0.181849189,0.182075043,0.181689369,0.185339276,0.187980068,0.192202656,0.1881579,0.191724475,0.184821352,0.184188542
"micro-benchmarks/bm_count_multithreaded.rb",16,0.401748277,0.399222606,0.376049958,0.37385576,0.366439814,0.371326304,0.379742509,0.376796399,0.381377042,0.376401776,0.377896423,0.380243364
"micro-benchmarks/bm_count_shared_thread.rb",1,0.249176447,0.240698575,0.229241434,0.226085544,0.228058589,0.232483736,0.239200051,0.235353477,0.231520833,0.236661996,0.235715447,0.235310129
"micro-benchmarks/bm_count_shared_thread.rb",2,0.24594296,0.241725727,0.233203362,0.232897127,0.228316227,0.228363512,0.231550218,0.235505192,0.232614675,0.235683214,0.23602272,0.23151787
"micro-benchmarks/bm_count_shared_thread.rb",4,0.250312177,0.247055232,0.234163338,0.229313136,0.228700532,0.232791418,0.231056251,0.23553269,0.235850642,0.231806859,0.236172813,0.235574124
"micro-benchmarks/bm_count_shared_thread.rb",8,0.250550637,0.247063742,0.22976387,0.230231765,0.232796018,0.224833607,0.240253847,0.231788753,0.228319529,0.232837016,0.236806228,0.232559735
"micro-benchmarks/bm_count_shared_thread.rb",16,0.246967815,0.250645237,0.234022384,0.233875714,0.227518465,0.229506003,0.239956744,0.233487043,0.233615643,0.240416438,0.241439635,0.232298109
"micro-benchmarks/bm_dirp.rb",10000,4.050910834,4.031848389,3.940209661,3.945466929,3.986537976,3.972576475,3.962046779,3.949192099,4.010732819,4.007341173,4.010654398,3.961125516
"micro-benchmarks/bm_eval.rb",1000000,20.263790051,20.215554517,19.679201712,19.699412698,19.707870219,19.602434798,18.653338596,18.88017419,19.932611468,18.936605489,21.787671856,18.86721111
"micro-benchmarks/bm_fannkuch.rb",6,0.003243359,0.003339748,0.003282301,0.003258485,0.003248417,0.003310996,0.003245594,0.003260025,0.003290383,0.003234057,0.003347037,0.003237138
"micro-benchmarks/bm_fannkuch.rb",8,0.558678987,0.5793254,0.557770568,0.562661763,0.548091925,0.552054541,0.555156338,0.553414879,0.564768182,0.546218981,0.575678416,0.550474058
"micro-benchmarks/bm_fasta.rb",1000000,41.933506135,42.101856333,42.173965725,42.194479438,42.081324273,41.511873848,41.230720077,41.697692071,40.939524685,41.393400471,40.832730835,41.791004006
"micro-benchmarks/bm_fiber_ring.rb",10,0.000336666,0.000334915,0.000338471,0.000372048,0.000390228,0.00034687,0.000330099,0.000333649,0.000339221,0.000338643,0.000384037,0.000373405
"micro-benchmarks/bm_fiber_ring.rb",100,0.036159599,0.035888648,0.036794189,0.035596397,0.037448856,0.037861467,0.035595318,0.032456035,0.037508752,0.036864935,0.036190221,0.035589203
"micro-benchmarks/bm_fiber_ring.rb",1000,3.474414826,3.40339594,3.443429505,3.441649371,3.526973341,3.521100273,3.43833393,3.427066786,3.494914814,3.517963535,3.476225416,3.42255624
"micro-benchmarks/bm_fractal.rb",5,2.716321861,2.708798443,2.87740244,2.680459325,2.563179609,2.570744416,2.628683106,2.737582895,2.814318179,2.638733501,2.744638937,2.730713629
"micro-benchmarks/bm_gc_mb.rb",500000,0.561780763,0.549273406,0.514696558,0.514261807,0.497767039,0.512082237,0.508007963,0.502902468,0.512560455,0.502306106,0.502743335,0.501858379
"micro-benchmarks/bm_gc_mb.rb",1000000,1.365946241,1.319527221,1.208670243,1.203037953,1.203002746,1.248293994,1.244616862,1.226802756,1.236976761,1.232584373,1.243025696,1.235430073
"micro-benchmarks/bm_gc_mb.rb",3000000,3.268003574,3.154494006,2.942697296,2.951947836,2.903460782,3.042339838,2.971656269,2.971839121,2.963047875,2.953196115,2.997406229,2.963263901
"micro-benchmarks/bm_gc_string.rb",1,10.774695617,10.559971515,9.98544125,10.16701307,9.983460567,10.014454114,9.762922482,9.740259858,9.87109066,9.807207926,9.806153388,9.792873273
"micro-benchmarks/bm_knucleotide.rb",1,2.600252955,2.574162088,2.536387163,2.608325411,2.444076836,2.523569904,2.425931998,2.478565378,2.536857879,2.510561543,2.50291784,2.442070063
"micro-benchmarks/bm_list.rb",1000,0.069594327,0.068782627,0.056240105,0.068092944,0.066832003,0.065768607,0.060209468,0.051368165,0.066240815,0.056229005,0.061764294,0.062567895
"micro-benchmarks/bm_list.rb",10000,6.469163777,6.356123814,6.026933306,6.280785173,5.783750837,6.048793232,5.806443003,5.802461324,5.954887905,6.180694297,5.888865523,5.68158769
"micro-benchmarks/bm_lucas_lehmer.rb",9689,22.948861221,22.981363628,23.644267435,23.684434262,23.728195257,23.699616879,23.619930751,23.634996017,23.718000239,23.641951886,23.658321104,23.67558583
"micro-benchmarks/bm_lucas_lehmer.rb",9941,24.738777473,24.840834435,25.52193895,25.552565809,25.587199838,25.610057428,25.529931668,25.50556546,25.59825455,25.515990947,25.557598271,25.549349581
"micro-benchmarks/bm_mandelbrot.rb",1,36.720515423,35.934092026,35.718350116,35.786608473,35.130498465,35.106942326,35.436781734,35.965894341,35.209008576,35.281730464,35.298592038,35.609463341
"micro-benchmarks/bm_mbari_bogus1.rb",1,0.028635815,0.032682425,0.029172011,0.02860663,0.028209069,0.035763424,0.024426592,0.027888145,0.033388341,0.023914271,0.031918454,0.032326893
"micro-benchmarks/bm_mergesort.rb",1,2.164660658,2.197657224,2.148746403,2.132240702,2.152917113,2.198182845,2.115096304,2.130235003,2.136987779,2.118497597,2.144683562,2.112271198
"micro-benchmarks/bm_mergesort_hongli.rb",3000,3.308473033,3.265771864,3.265714856,3.316501197,3.325670956,3.281406484,3.145551539,3.177694093,3.202305095,3.177505481,3.193510721,3.279512119
"micro-benchmarks/bm_meteor_contest.rb",1,21.609157079,21.598746829,20.526313234,20.734726358,20.136523211,20.446911124,20.241680006,20.236961357,20.696901891,20.185070124,20.243416729,20.209834354
"micro-benchmarks/bm_monte_carlo_pi.rb",10000000,12.783323753,12.512571302,12.357628727,12.688197266,13.432907948,13.16841366,12.382118099,12.689202318,12.681598614,12.696413823,13.038479373,12.74792536
"micro-benchmarks/bm_nbody.rb",100000,4.612197801,4.521194286,4.49355635,4.580061276,4.522898333,4.499456104,4.646315773,4.637583486,4.481659084,4.631350758,4.534142367,4.572197034
"micro-benchmarks/bm_nsieve.rb",9,13.691791048,14.681915809,14.309153193,13.680087652,13.642437333,13.92779975,14.789838437,13.468526391,14.426190409,14.950546244,14.334935346,13.695694356
